DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TRNG_LFSE_01(1.0),14/04/25 23:00:00,A,PC,F,Y25-34,AT,1995,11.9,,
ESTAT:TRNG_LFSE_01(1.0),14/04/25 23:00:00,A,PC,F,Y25-34,AT,1996,10.5,,
ESTAT:TRNG_LFSE_01(1.0),14/04/25 23:00:00,A,PC,F,Y25-34,AT,1997,11.8,,
ESTAT:TRNG_LFSE_01(1.0),14/04/25 23:00:00,A,PC,F,Y25-34,AT,1999,14.0,,
ESTAT:TRNG_LFSE_01(1.0),14/04/25 23:00:00,A,PC,F,Y25-34,AT,2000,12.9,,
ESTAT:TRNG_LFSE_01(1.0),14/04/25 23:00:00,A,PC,F,Y25-34,AT,2001,12.8,,
ESTAT:TRNG_LFSE_01(1.0),14/04/25 23:00:00,A,PC,F,Y25-34,AT,2002,13.5,,
ESTAT:TRNG_LFSE_01(1.0),14/04/25 23:00:00,A,PC,F,Y25-34,AT,2003,15.4,,
ESTAT:TRNG_LFSE_01(1.0),14/04/25 23:00:00,A,PC,F,Y25-34,AT,2004,18.5,b,
ESTAT:TRNG_LFSE_01(1.0),14/04/25 23:00:00,A,PC,F,Y25-34,AT,2005,20.0,,
ESTAT:TRNG_LFSE_01(1.0),14/04/25 23:00:00,A,PC,F,Y25-34,AT,2006,21.3,b,
ESTAT:TRNG_LFSE_01(1.0),14/04/25 23:00:00,A,PC,F,Y25-34,AT,2007,22.1,,
ESTAT:TRNG_LFSE_01(1.0),14/04/25 23:00:00,A,PC,F,Y25-34,AT,2008,22.7,,
ESTAT:TRNG_LFSE_01(1.0),14/04/25 23:00:00,A,PC,F,Y25-34,AT,2009,23.8,,
ESTAT:TRNG_LFSE_01(1.0),14/04/25 23:00:00,A,PC,F,Y25-34,AT,2010,23.5,,
ESTAT:TRNG_LFSE_01(1.0),14/04/25 23:00:00,A,PC,F,Y25-34,AT,2011,23.3,,
ESTAT:TRNG_LFSE_01(1.0),14/04/25 23:00:00,A,PC,F,Y25-34,AT,2012,24.1,,
ESTAT:TRNG_LFSE_01(1.0),14/04/25 23:00:00,A,PC,F,Y25-34,AT,2013,24.7,,
ESTAT:TRNG_LFSE_01(1.0),14/04/25 23:00:00,A,PC,F,Y25-34,AT,2014,24.5,,
ESTAT:TRNG_LFSE_01(1.0),14/04/25 23:00:00,A,PC,F,Y25-34,AT,2015,25.1,,
ESTAT:TRNG_LFSE_01(1.0),14/04/25 23:00:00,A,PC,F,Y25-34,AT,2016,25.7,,
ESTAT:TRNG_LFSE_01(1.0),14/04/25 23:00:00,A,PC,F,Y25-34,AT,2017,27.0,,
ESTAT:TRNG_LFSE_01(1.0),14/04/25 23:00:00,A,PC,F,Y25-34,AT,2018,26.0,,
ESTAT:TRNG_LFSE_01(1.0),14/04/25 23:00:00,A,PC,F,Y25-34,AT,2019,25.7,,
ESTAT:TRNG_LFSE_01(1.0),14/04/25 23:00:00,A,PC,F,Y25-34,AT,2020,22.3,,
ESTAT:TRNG_LFSE_01(1.0),14/04/25 23:00:00,A,PC,F,Y25-34,AT,2021,26.4,b,
ESTAT:TRNG_LFSE_01(1.0),14/04/25 23:00:00,A,PC,F,Y25-34,AT,2022,27.3,,
ESTAT:TRNG_LFSE_01(1.0),14/04/25 23:00:00,A,PC,F,Y25-34,AT,2023,28.5,,
ESTAT:TRNG_LFSE_01(1.0),14/04/25 23:00:00,A,PC,F,Y25-34,AT,2024,29.8,,
ESTAT:TRNG_LFSE_01(1.0),14/04/25 23:00:00,A,PC,F,Y25-34,BA,2021,7.0,,
ESTAT:TRNG_LFSE_01(1.0),14/04/25 23:00:00,A,PC,F,Y25-34,BA,2022,8.1,,
ESTAT:TRNG_LFSE_01(1.0),14/04/25 23:00:00,A,PC,F,Y25-34,BA,2023,7.7,,
ESTAT:TRNG_LFSE_01(1.0),14/04/25 23:00:00,A,PC,F,Y25-34,BE,1992,3.5,,
ESTAT:TRNG_LFSE_01(1.0),14/04/25 23:00:00,A,PC,F,Y25-34,BE,1993,4.0,,
ESTAT:TRNG_LFSE_01(1.0),14/04/25 23:00:00,A,PC,F,Y25-34,BE,1994,4.7,,
ESTAT:TRNG_LFSE_01(1.0),14/04/25 23:00:00,A,PC,F,Y25-34,BE,1995,4.7,,
